id,created_at,text
1465701686278705158,2021-11-30 15:18:08+00:00,"🚨Call for abstracts for the first Dublin Meeting in Patient-Centred Global Surgery now open 

📩Submit your papers by 9 January

🌍https://t.co/x2N3RZ8HO4 #GlobalSurgery https://t.co/eBKnkLnULj"
1465654697252081671,2021-11-30 12:11:25+00:00,"New hope for patients with cancer spread around the brain and spinal cord

A investigator-led clinical trial by @DrJNaidoo shows immunotherapy may help patients with leptomeningeal disease.

https://t.co/Im9YREGHHP #RCSIdiscover https://t.co/fdiokhzMMW"
1465637050074509318,2021-11-30 11:01:17+00:00,"@RCSI_Research The RCSI StAR MD programme 2022 is run in collaboration with Beacon Hospital, @brc_clinic, Bon Secours Hospital Dublin, @hermitageclinic, @materprivate and @SSCSantry

Apply by 6 Jan.
https://t.co/r6w6J9Aea4"
1465636818116878338,2021-11-30 11:00:22+00:00,"Applications are open for the RCSI StAR MD Programme 2022

The programme offers candidates the opportunity to advance research and build on skilled clinical expertise. 
https://t.co/XIisV5SwGW https://t.co/OiixJ19nUZ"
1465428302114471944,2021-11-29 21:11:48+00:00,"What we know so far about the #OmicronVariant

Prof. @FfitzP highlights the vigilance of a junior scientist that led to the discovery. @morningireland  https://t.co/tVcMPUMAkF"
1465419742513143816,2021-11-29 20:37:47+00:00,"Reflections on...Having a Playful Christmas

@DrTrudyMeehan and Dr @JolantaBurke share why it’s important to make time for play at every age. 

https://t.co/AgGYw26ucr @museumofci #positivepsychology https://t.co/tzYpahklPl"
1465333706621657091,2021-11-29 14:55:54+00:00,"""As educators of future healthcare professionals, it is fitting that RCSI is showing such leadership by underlining its commitment to race equality.""

Minister @SimonHarrisTD welcomes the launch of the RCSI Race Equality Action Plan.

@DeptofFHed @hea_irl https://t.co/X5p7cw6RDW"
1465330895003467786,2021-11-29 14:44:44+00:00,"@Avril_Hutch Thank you for all your work on developing this plan as part of the Race Equality Forum, @Avril_Hutch. We're proud to launch it today. @RCSI_Equality"
1465322248018055178,2021-11-29 14:10:22+00:00,"Now Live: Launch of the RCSI Race Equality Action Plan

The plan aims to progress race equality and to reaffirm the university's rejection of racism in all its forms.

@DeptofFHed @SimonHarrisTD https://t.co/Kg0g56df8f"
1465265064626335744,2021-11-29 10:23:09+00:00,"@ChristinaKsci Thanks, Christina. We'll DM you now."
1465256459734859780,2021-11-29 09:48:57+00:00,"Launching the RCSI Race Equality Action Plan

Join us at 2pm today. https://t.co/v0MnU83LKz https://t.co/NjFUFErfA9"
1465249670133956610,2021-11-29 09:21:59+00:00,"""If we are asking our children to step into the breach, for their and our benefit, they deserve more of adults.""

Prof. Prof Ruairí Brugha writes in @thejournal_ie. #COVID19Ireland 
https://t.co/FLXE8rg4Yn"
1464263972069289993,2021-11-26 16:05:10+00:00,"We're looking forward to the launch of the RCSI Race Equality Action Plan.

Join us on Monday.🎫https://t.co/v0MnU83LKz 
@RCSI_SU_ @RCSIPGSU https://t.co/UF9zPMWoOA"
1464190788087201794,2021-11-26 11:14:21+00:00,"Why some people find it harder to be happy

Dr @JolantaBurke writes in @ConversationUK. #positivepsychology #scienceofhappiness 
https://t.co/woNKKogh5g"
1464178484725567493,2021-11-26 10:25:28+00:00,"A study by @0lgaPiskareva found that neuroblastoma cells taken from the same tumour use different strategies to move.

The findings published in Cancers @MDPIOpenAccess will inform future research to stop the spread of this childhood cancer.

https://t.co/YlBq3DTn4z #RCSIdiscover https://t.co/FySQcv62Tk"
1464176414324887555,2021-11-26 10:17:14+00:00,"Study finds a link between inflammatory diseases and a disrupted body clock

#ScienceofSleep #circadianrhythm @sciencefocus 
https://t.co/Q3LUk5IDdg"
1463920922776248330,2021-11-25 17:22:00+00:00,"We are delighted to announce that @LocateBio and RCSI have won the @KTIconnect 2021 Commercialisation Award.

#KTIAwards @TissueEngDublin https://t.co/4pwFaksnwr"
1463810619942047746,2021-11-25 10:03:42+00:00,"@RCSI_SIM @MovemberIreland Working with community partners, including @DubCivilDefence and @MentalHealthIrl, the project will explore how family members and friends can best support their first responder’s mental health, while being mindful of their own self-care.

#MentalHealthMatters #Movember"
1463809445549547522,2021-11-25 09:59:02+00:00,"RCSI receives #Movember funding to improve mental health supports for first responders 

@RCSI_SIM @MovemberIreland
https://t.co/GQRdKn0hJt"
1463535519938355209,2021-11-24 15:50:33+00:00,"RCSI celebrates the conferring of more than 1,200 graduates in virtual ceremonies 

#RCSIConferring🎓 
https://t.co/Z6beewCNb6"
1463507790169792512,2021-11-24 14:00:22+00:00,"Expert says 'previously healthy people' aged in their 30s are dying with COVID-19 weekly

#VaccinesSaveLives #GetVaccinated https://t.co/Qo5ZwOqtxJ"
1463503882445807616,2021-11-24 13:44:50+00:00,"New Irish study finds link between poor sleep schedules and diseases like arthritis and cancer

https://t.co/01qeey3RJy @RCSIPharmBioMol"
1463464342649774089,2021-11-24 11:07:43+00:00,"Now Live: The RCSI and @TrinityResInnov Innovation Showcase 2021
  
Profs. @fjobrien and @sa_cryan will discuss next gen biomaterials for healthcare and Richard Costello will explore innovations for the connected patient.  

https://t.co/j92epTVoBn https://t.co/A2jqx2jhtA"
1463463207696220165,2021-11-24 11:03:13+00:00,"@Alli_McClean @RCSI_il Congratulations, Alli! 🎓✨ 
We hope you enjoyed your virtual #RCSIConferring."
